9432	1425628319.232982000	00:26:66:55:97:d4	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x67ffec	0
10130	1425628320.138252000	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	00:26:66:55:97:d6	0xc2cbeb	0
10155	1425628320.176656000	f0:f6:1c:68:96:7c	04:8d:38:48:e5:b4	00:26:66:55:97:d6	0xc3cbeb	0
10157	1425628320.177168000	f0:f6:1c:68:96:7c	04:8d:38:48:a8:b5	00:26:66:55:97:d6	0xc4cbeb	0
10159	1425628320.177168000	f0:f6:1c:68:96:7c	08:10:77:92:7c:2f	00:26:66:55:97:d6	0xc5cbeb	0
10161	1425628320.177168000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xc6cbeb	0
10163	1425628320.177168000	f0:f6:1c:68:96:7c	c8:3a:35:58:c4:ba	00:26:66:55:97:d6	0xc7cbeb	0
10165	1425628320.177167000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xc8cbeb	0
10167	1425628320.177686000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x68ffec	0
10170	1425628320.180760000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x69ffec	0
10171	1425628320.182288000	f0:f6:1c:68:96:7c	33:33:00:00:00:02	00:26:66:55:97:d6	0xc9cbeb	0
10172	1425628320.187417000	00:26:66:55:97:d4	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x6affec	0
10173	1425628320.187408000	f0:f6:1c:68:96:7c	33:33:00:00:00:02	00:26:66:55:97:d6	0xc9cbeb	0
10175	1425628320.187919000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xcacbeb	0
10177	1425628320.188952000	f0:f6:1c:68:96:7c	33:33:00:00:00:02	00:26:66:55:97:d6	0x6bffec	0
10178	1425628320.189976000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x6cffec	0
10183	1425628320.192016000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xcbcbeb	0
10185	1425628320.193048000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x6dffec	0
10224	1425628320.259088000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xcccbeb	0
10228	1425628320.262680000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x6effec	0
10229	1425628320.262678000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x6fffec	0
10233	1425628320.263184000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xcdcbeb	0
10261	1425628320.419350000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xcecbeb	0
10266	1425628320.420374000	f0:f6:1c:68:96:7c	01:00:5e:00:00:02	00:26:66:55:97:d6	0xcfcbeb	0
10268	1425628320.420374000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0xd0cbeb	0
10270	1425628320.420886000	f0:f6:1c:68:96:7c	01:00:5e:00:00:02	00:26:66:55:97:d6	0x70ffec	0
10272	1425628320.422421000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0x71ffec	0
10353	1425628320.583190000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x72ffec	0
10355	1425628320.583700000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x73ffec	0
10357	1425628320.583702000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xd1cbeb	0
10359	1425628320.584726000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x74ffec	0
10360	1425628320.586774000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xd2cbeb	0
10367	1425628320.789014000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xd3cbeb	0
10375	1425628320.936471000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xd4cbeb	0
10377	1425628320.936469000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x75ffec	0
10379	1425628320.937495000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x76ffec	0
10380	1425628320.962071000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xd5cbeb	0
10382	1425628320.976407000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xd6cbeb	0
10388	1425628321.112150000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x77ffec	0
10390	1425628321.139798000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xd7cbeb	0
10392	1425628321.156181000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xd8cbeb	0
10394	1425628321.157208000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x78ffec	0
10401	1425628321.287763000	f0:f6:1c:68:96:7c	33:33:00:00:00:16	00:26:66:55:97:d6	0xd9cbeb	0
10403	1425628321.287766000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x79ffec	0
10405	1425628321.287766000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x7affec	0
10407	1425628321.287767000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x7bffec	0
10409	1425628321.288279000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x7cffec	0
10411	1425628321.289816000	f0:f6:1c:68:96:7c	33:33:00:00:00:16	00:26:66:55:97:d6	0x7dffec	0
10412	1425628321.321554000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xdacbeb	0
10414	1425628321.325143000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x7effec	0
10415	1425628321.327698000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xdbcbeb	0
10417	1425628321.327698000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xdccbeb	0
10419	1425628321.328214000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x7fffec	0
10426	1425628321.462355000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xddcbeb	0
10431	1425628321.488979000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xdecbeb	0
10433	1425628321.490008000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x80ffec	0
10446	1425628321.813588000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x81ffec	0
10448	1425628321.841235000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xdfcbeb	0
10458	1425628322.163860000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x82ffec	0
10460	1425628322.163860000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x83ffec	0
10462	1425628322.193046000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xe0cbeb	0
10464	1425628322.194070000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xe1cbeb	0
10476	1425628322.516627000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x84ffec	0
10478	1425628322.544276000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xe2cbeb	0
10480	1425628322.545302000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x85ffec	0
10481	1425628322.545300000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x86ffec	0
10483	1425628322.546325000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xe3cbeb	0
10485	1425628322.547860000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xe4cbeb	0
10491	1425628322.692246000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xe5cbeb	0
10493	1425628322.693269000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x87ffec	0
10503	1425628322.868370000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x88ffec	0
10505	1425628322.896534000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xe6cbeb	0
10518	1425628323.043542000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0xe7cbeb	0
10520	1425628323.044563000	f0:f6:1c:68:96:7c	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6	0x89ffec	0
10521	1425628323.044561000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x8affec	0
10530	1425628323.220689000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x8bffec	0
10532	1425628323.220689000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x8cffec	0
10534	1425628323.248340000	f0:f6:1c:68:96:7c	33:33:00:00:00:16	00:26:66:55:97:d6	0xe8cbeb	0
10536	1425628323.249874000	f0:f6:1c:68:96:7c	33:33:00:00:00:16	00:26:66:55:97:d6	0x8dffec	0
10537	1425628323.249877000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xe9cbeb	0
10903	1425628324.976914000	f0:f6:1c:68:96:7c	33:33:00:00:00:02	00:26:66:55:97:d6	0xeacbeb	0
10905	1425628324.977937000	f0:f6:1c:68:96:7c	33:33:00:00:00:02	00:26:66:55:97:d6	0x8effec	0
10914	1425628326.256526000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0xebcbeb	0
10917	1425628326.258574000	f0:f6:1c:68:96:7c	33:33:00:00:00:fb	00:26:66:55:97:d6	0xeccbeb	0
10919	1425628326.260115000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0x8fffec	0
10920	1425628326.262162000	f0:f6:1c:68:96:7c	33:33:00:00:00:fb	00:26:66:55:97:d6	0x90ffec	0
10923	1425628327.256535000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0xedcbeb	0
10927	1425628327.256535000	f0:f6:1c:68:96:7c	33:33:00:00:00:fb	00:26:66:55:97:d6	0xeecbeb	0
10929	1425628327.258068000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0x91ffec	0
10930	1425628327.260116000	f0:f6:1c:68:96:7c	33:33:00:00:00:fb	00:26:66:55:97:d6	0x92ffec	0
10972	1425628328.102932000	00:26:66:55:97:d4	f0:f6:1c:68:96:7c	00:26:66:55:97:d6	0x93ffec	0
10974	1425628328.103965000	f0:f6:1c:68:96:7c	00:26:66:55:97:d4	00:26:66:55:97:d6	0xefcbeb	0
11031	1425628329.230422000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0xf0cbeb	0
11033	1425628329.230422000	f0:f6:1c:68:96:7c	33:33:00:00:00:fb	00:26:66:55:97:d6	0xf1cbeb	0
11037	1425628329.238103000	f0:f6:1c:68:96:7c	01:00:5e:00:00:fb	00:26:66:55:97:d6	0x94ffec	0
11038	1425628329.240662000	f0:f6:1c:68:96:7c	33:33:00:00:00:fb	00:26:66:55:97:d6	0x95ffec	0
11045	1425628329.536596000	f0:f6:1c:68:96:7c	33:33:00:00:00:02	00:26:66:55:97:d6	0xf2cbeb	0
11047	1425628329.537622000	f0:f6:1c:68:96:7c	33:33:00:00:00:02	00:26:66:55:97:d6	0x96ffec	0
