7			0.0.0.0	255.255.255.255	DHCP
9			0.0.0.0	255.255.255.255	DHCP
11			192.168.0.1	255.255.255.255	DHCP
20			192.168.0.15	8.8.8.8	DNS
21			192.168.0.15	8.8.8.8	DNS
22			192.168.0.15	224.0.0.2	IGMPv2
23			192.168.0.15	224.0.0.251	IGMPv2
24			192.168.0.15	224.0.0.2	IGMPv2
25			192.168.0.15	224.0.0.251	IGMPv2
26			8.8.8.8	192.168.0.15	DNS
27			8.8.8.8	192.168.0.15	DNS
30			192.168.0.15	17.172.239.31	TCP
31			192.168.0.15	17.172.239.127	TCP
33			17.172.239.31	192.168.0.15	TCP
35			192.168.0.15	17.172.239.31	TCP
36			192.168.0.15	17.172.239.31	TLSv1
37			17.172.239.127	192.168.0.15	TCP
38			192.168.0.15	17.172.239.127	TCP
42			17.172.239.31	192.168.0.15	TCP
43			17.172.239.31	192.168.0.15	TLSv1
44			17.172.239.31	192.168.0.15	TLSv1
45			17.172.239.31	192.168.0.15	TLSv1
47			0.0.0.0	255.255.255.255	DHCP
48			0.0.0.0	255.255.255.255	DHCP
49			192.168.0.15	17.172.239.31	TCP
50			192.168.0.15	17.172.239.31	TCP
51			192.168.0.1	192.168.0.15	DHCP
52			192.168.0.15	17.172.239.31	TLSv1
55			17.172.239.31	192.168.0.15	TCP
56			192.168.0.15	17.172.239.31	TLSv1
57			17.172.239.31	192.168.0.15	TCP
58			17.172.239.31	192.168.0.15	TLSv1
59			192.168.0.15	17.172.239.31	TCP
60			192.168.0.15	17.172.239.31	TLSv1
61			17.172.239.31	192.168.0.15	TLSv1
65			192.168.0.15	17.172.239.31	TCP
66			192.168.0.15	17.172.239.31	TLSv1
69			17.172.239.31	192.168.0.15	TCP
70			192.168.0.15	17.172.239.31	TLSv1
74			17.172.239.31	192.168.0.15	TCP
75			17.172.239.31	192.168.0.15	TLSv1
78			192.168.0.15	17.172.239.31	TCP
81			192.168.0.15	224.0.0.251	MDNS
83			192.168.0.15	224.0.0.251	MDNS
85			192.168.0.15	224.0.0.251	MDNS
87			192.168.0.15	224.0.0.251	MDNS
91			192.168.0.15	224.0.0.251	MDNS
93			192.168.0.15	224.0.0.251	MDNS
97			192.168.0.15	8.8.8.8	DNS
98			8.8.8.8	192.168.0.15	DNS
99			192.168.0.15	198.41.209.137	TCP
100			198.41.209.137	192.168.0.15	TCP
101			192.168.0.15	198.41.209.137	TCP
102			192.168.0.15	198.41.209.137	HTTP
103			198.41.209.137	192.168.0.15	TCP
104			192.168.0.15	224.0.0.251	MDNS
106			192.168.0.15	224.0.0.251	MDNS
107			198.41.209.137	192.168.0.15	HTTP
108			198.41.209.137	192.168.0.15	TCP
109			198.41.209.137	192.168.0.15	HTTP
110			198.41.209.137	192.168.0.15	TCP
111			198.41.209.137	192.168.0.15	HTTP
112			198.41.209.137	192.168.0.15	HTTP
113			198.41.209.137	192.168.0.15	HTTP
114			198.41.209.137	192.168.0.15	HTTP
115			198.41.209.137	192.168.0.15	HTTP
116			198.41.209.137	192.168.0.15	TCP
117			192.168.0.15	198.41.209.137	TCP
118			192.168.0.15	198.41.209.137	TCP
119			192.168.0.15	198.41.209.137	TCP
120			192.168.0.15	198.41.209.137	TCP
121			192.168.0.15	198.41.209.137	TCP
122			192.168.0.15	198.41.209.137	TCP
123			192.168.0.15	198.41.209.137	TCP
124			192.168.0.15	198.41.209.137	TCP
125			192.168.0.15	198.41.209.137	TCP
126			192.168.0.15	198.41.209.137	TCP
127			192.168.0.15	8.8.8.8	DNS
128			8.8.8.8	192.168.0.15	DNS
129			192.168.0.15	23.21.196.154	TCP
130			23.21.196.154	192.168.0.15	TCP
131			192.168.0.15	23.21.196.154	TCP
132			192.168.0.15	23.21.196.154	HTTP
133			192.168.0.15	23.21.196.154	TCP
134			17.172.232.98	192.168.0.15	TLSv1
135			192.168.0.15	17.172.232.98	TCP
136			192.168.0.15	8.8.8.8	DNS
137			8.8.8.8	192.168.0.15	DNS
138			192.168.0.15	199.27.79.193	TCP
139			192.168.0.15	199.27.79.193	TCP
140			192.168.0.15	199.27.79.193	TCP
141			192.168.0.15	199.27.79.193	HTTP
142			199.27.79.193	192.168.0.15	TCP
143			199.27.79.193	192.168.0.15	TCP
144			199.27.79.193	192.168.0.15	TCP
