1	2015-03-06T02:51:54.364526000-0500	1	11			
2	2015-03-06T02:51:54.364527000-0500	1	11			
3	2015-03-06T02:51:54.364525000-0500	1	11			
4	2015-03-06T02:51:54.364526000-0500	1	11			
5	2015-03-06T02:51:54.365550000-0500	1	11			
6	2015-03-06T02:51:54.366063000-0500	1	11			
7	2015-03-06T02:51:54.366062000-0500	1	11			
8	2015-03-06T02:51:54.366061000-0500	1	11			
9	2015-03-06T02:51:54.366063000-0500	1	11			
10	2015-03-06T02:51:54.366061000-0500	1	11			
11	2015-03-06T02:51:54.366064000-0500	1	11			
12	2015-03-06T02:51:54.366063000-0500	1	11			
13	2015-03-06T02:51:54.366063000-0500	1	11			
14	2015-03-06T02:51:54.366063000-0500	1	11			
15	2015-03-06T02:51:54.366064000-0500	1	11			
16	2015-03-06T02:51:54.366062000-0500	1	11			
17	2015-03-06T02:51:54.366575000-0500	1	11			
18	2015-03-06T02:51:54.366575000-0500	1	11			
19	2015-03-06T02:51:54.366573000-0500	1	11			
20	2015-03-06T02:51:54.366574000-0500	1	11			
21	2015-03-06T02:51:54.366575000-0500	1	11			
22	2015-03-06T02:51:54.366575000-0500	1	11			
23	2015-03-06T02:51:54.366575000-0500	1	11			
24	2015-03-06T02:51:54.366574000-0500	1	11			
25	2015-03-06T02:51:54.366574000-0500	1	11			
26	2015-03-06T02:51:54.366574000-0500	1	11			
27	2015-03-06T02:51:54.366574000-0500	1	11			
28	2015-03-06T02:51:54.366574000-0500	1	11			
29	2015-03-06T02:51:54.366574000-0500	1	11			
30	2015-03-06T02:51:54.366575000-0500	1	11			
31	2015-03-06T02:51:54.366573000-0500	1	11			
32	2015-03-06T02:51:54.366575000-0500	1	11			
33	2015-03-06T02:51:54.366574000-0500	1	11			
34	2015-03-06T02:51:54.366575000-0500	1	11			
35	2015-03-06T02:51:54.366575000-0500	1	11			
36	2015-03-06T02:51:54.366574000-0500	1	11			
37	2015-03-06T02:51:54.366575000-0500	1	11			
38	2015-03-06T02:51:54.366576000-0500	1	11			
39	2015-03-06T02:51:54.366575000-0500	1	11			
40	2015-03-06T02:51:54.366574000-0500	1	11			
41	2015-03-06T02:51:54.366573000-0500	1	11			
42	2015-03-06T02:51:54.366573000-0500	1	11			
43	2015-03-06T02:51:54.366574000-0500	1	11			
44	2015-03-06T02:51:54.367085000-0500	1	11			
45	2015-03-06T02:51:54.367086000-0500	1	11			
46	2015-03-06T02:51:54.367087000-0500	1	11			
47	2015-03-06T02:51:54.367089000-0500	1	13			
48	2015-03-06T02:51:54.367085000-0500	1	11			
49	2015-03-06T02:51:54.367087000-0500	1	11			
50	2015-03-06T02:51:54.367087000-0500	1	11			
51	2015-03-06T02:51:54.367087000-0500	1	11			
52	2015-03-06T02:51:54.367087000-0500	1	11			
53	2015-03-06T02:51:54.367086000-0500	1	11			
54	2015-03-06T02:51:54.367633000-0500	0	8	00:26:66:55:97:d6	ff:ff:ff:ff:ff:ff	00:26:66:55:97:d6
55	2015-03-06T02:51:54.368111000-0500	1	11			
56	2015-03-06T02:51:54.368111000-0500	1	11			
57	2015-03-06T02:51:54.368110000-0500	1	11			
58	2015-03-06T02:51:54.368110000-0500	1	11			
59	2015-03-06T02:51:54.368110000-0500	1	11			
60	2015-03-06T02:51:54.368110000-0500	1	11			
61	2015-03-06T02:51:54.368622000-0500	1	11			
62	2015-03-06T02:51:54.368623000-0500	1	11			
63	2015-03-06T02:51:54.368621000-0500	1	11			
64	2015-03-06T02:51:54.368622000-0500	1	11			
65	2015-03-06T02:51:54.368621000-0500	1	11			
66	2015-03-06T02:51:54.368623000-0500	1	11			
67	2015-03-06T02:51:54.368622000-0500	1	11			
68	2015-03-06T02:51:54.368623000-0500	1	11			
69	2015-03-06T02:51:54.368622000-0500	1	11			
70	2015-03-06T02:51:54.368622000-0500	1	11			
71	2015-03-06T02:51:54.368623000-0500	1	11			
72	2015-03-06T02:51:54.368621000-0500	1	11			
73	2015-03-06T02:51:54.368622000-0500	1	11			
74	2015-03-06T02:51:54.369134000-0500	1	11			
75	2015-03-06T02:51:54.369134000-0500	1	11			
76	2015-03-06T02:51:54.369135000-0500	1	11			
77	2015-03-06T02:51:54.369648000-0500	1	11			
78	2015-03-06T02:51:54.369646000-0500	1	11			
79	2015-03-06T02:51:54.370159000-0500	1	11			
80	2015-03-06T02:51:54.371182000-0500	1	11			
81	2015-03-06T02:51:54.371181000-0500	1	11			
82	2015-03-06T02:51:54.371183000-0500	1	11			
83	2015-03-06T02:51:54.371694000-0500	1	11			
84	2015-03-06T02:51:54.371694000-0500	1	11			
85	2015-03-06T02:51:54.372207000-0500	1	11			
86	2015-03-06T02:51:54.372718000-0500	1	11			
87	2015-03-06T02:51:54.375279000-0500	1	11			
88	2015-03-06T02:51:54.375791000-0500	1	11			
89	2015-03-06T02:51:54.376813000-0500	1	11			
90	2015-03-06T02:51:54.376815000-0500	1	11			
91	2015-03-06T02:51:54.376815000-0500	1	11			
92	2015-03-06T02:51:54.376815000-0500	1	11			
93	2015-03-06T02:51:54.376814000-0500	1	11			
94	2015-03-06T02:51:54.376815000-0500	1	11			
95	2015-03-06T02:51:54.376814000-0500	1	11			
96	2015-03-06T02:51:54.381421000-0500	1	11			
97	2015-03-06T02:51:54.381423000-0500	1	11			
98	2015-03-06T02:51:54.382446000-0500	1	11			
99	2015-03-06T02:51:54.382446000-0500	1	11			
100	2015-03-06T02:51:54.382957000-0500	1	11			
